Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
1,VSS_L_0_PAD,W,O,-2.439207,1.97,0.075,0.044
2,V33_L_0_PAD,W,O,-2.439207,1.89,0.075,0.044
3,VZZ_L_0_PAD,W,O,-2.439207,1.81,0.075,0.044
4,VDD_L_0_PAD,W,O,-2.439207,1.73,0.075,0.044
5,VSS_L_1_PAD,W,O,-2.439207,1.65,0.075,0.044
6,V33_L_1_PAD,W,O,-2.439207,1.57,0.075,0.044
7,sdi_A_sclk_ex_i_PAD,W,I,-2.347607,1.53,0.075,0.044
8,VZZ_L_1_PAD,W,O,-2.439207,1.49,0.075,0.044
9,sdi_A_tkn_ex_o_PAD,W,I,-2.347607,1.41,0.075,0.044
10,VDD_L_1_PAD,W,O,-2.439207,1.37,0.075,0.044
11,sdi_A_data_7_i_PAD,W,I,-2.347607,1.33,0.075,0.044
12,VSS_L_2_PAD,W,O,-2.439207,1.29,0.075,0.044
13,sdi_A_data_6_i_PAD,W,I,-2.347607,1.25,0.075,0.044
14,VDD_L_2_PAD,W,O,-2.439207,1.21,0.075,0.044
15,sdi_A_data_5_i_PAD,W,I,-2.347607,1.17,0.075,0.044
16,VSS_L_3_PAD,W,O,-2.439207,1.13,0.075,0.044
17,sdi_A_data_4_i_PAD,W,I,-2.347607,1.075,0.075,0.044
18,VDD_L_3_PAD,W,O,-2.439207,1.035,0.075,0.044
19,sdi_A_data_3_i_PAD,W,I,-2.347607,0.995,0.075,0.044
20,VSS_L_4_PAD,W,O,-2.439207,0.955,0.075,0.044
21,misc_L_0_i_PAD,W,I,-2.347607,0.915,0.075,0.044
22,V33_L_2_PAD,W,O,-2.439207,0.875,0.075,0.044
23,sdi_A_token_o_PAD,W,I,-2.347607,0.835,0.075,0.044
24,VZZ_L_2_PAD,W,O,-2.439207,0.795,0.075,0.044
25,misc_L_1_i_PAD,W,I,-2.347607,0.755,0.075,0.044
26,VDD_L_4_PAD,W,O,-2.439207,0.675,0.075,0.044
27,sdi_A_sclk_i_PAD,W,I,-2.347607,0.635,0.075,0.044
28,VSS_L_5_PAD,W,O,-2.439207,0.595,0.075,0.044
29,misc_L_2_i_PAD,W,I,-2.347607,0.555,0.075,0.044
30,VDD_L_5_PAD,W,O,-2.439207,0.515,0.075,0.044
31,sdi_A_ncmd_i_PAD,W,I,-2.347607,0.475,0.075,0.044
